"658", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter

suma = 0
num = 1

for num in range(1000):
  
  if (3 * num) < 10:
    suma = suma + (3 * num)
    	
  if (5 * num) < 10:
    suma = suma + (5 * num)
    	
print ('la suma de los múltiplos de 3 y 5 menores que ', num, 'es ', suma)

#print (suma)"
"659", "for num in range(10):
	print (num / 5)*5 +(num / 3)*3
"
"660", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  num % 3 
  print num"
"661", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  num*3 < 1000
  
  "
"662", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
total =0
for num in range(10):  
  if (num%3==0 | num%5==0 | num<1000):
  	total=total+num
print total"
"663", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(10):
  print num 
  "
"664", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
sum=0
for num in range(1000):
  if num%5==0 or num%3==0:
	sum+=num
print sum"
"665", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

def multiplesOfThreeOrFiveBelow(number):
	  threes = 3 * (number % 3)
	  fives = 5 * (number % 5)
	  print fives
	  
multiplesOfThreeOrFiveBelow(10)"
"666", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
num = 1;
x=0;
for num in range(1000):
  if num<1000:
	if num%3==0:
		 x+=num;
	if num%5==0:
		 x+=num;

print x;"
"667", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  rem = num%7
  print rem"
"668", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(10):
    x = num % 3
    y = num % 5
for letter in [x, y]:
    print letter"
"669", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  1% 7"
"670", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

for num in range(1000):
  
  x= 1000 % 70
  print x"
"671", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

sum = 0;
for num in range(1000):
  if ((num%3==0)|(num%5==0)):
	sum=sum+num;
	print sum;
	
	
	
	
	"
