"56", "# print sum(set(list(range(0, 1000, 3)) + list(range(0, 1000, 5))))
", "1"
"42", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

3*333*334/2 + 5*200*201/2 - 15*66*67/2", "1"
"22", "# x = sum(set(list(range(0, 1000, 3)) + list(range(0, 1000, 5))))
# print x", "1"
"43", "      ", "1"
"60", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

#	for num in range(1000):
#		print x", "1"
"61", "# In Python, the code
#
#     for letter in ['3', '5']:
#         print x
#
# prints:
# for num in range(1000):
  
 
  ", "1"
"62", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
", "1"
"49", "# print x=range(1000)", "1"
"52", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

number = 10
def multiplesOfThreeOrFiveBelow(number):
	  threes = 3 * (number % 3)
	  fives = 5 * (number % 5)
	  print number", "5"
"53", "# In Python, the code
#
#     for letter in ['3', '5']:
#         print x
#
# prints:
#
#     3
#     5
# for num in range(1000):
  
 
  ", "1"
"24", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

number = 10
def multiplesOfThreeOrFiveBelow(number):
	  print number", "5"
"25", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

", "1"
"26", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b
#", "1"
"27", "
end = 1000

def Solution01():
    '''
        Solved by brute force
        #OPTIMIZE
    '''
    sum = 0
    for i in range(3, end):
        if isMultiple(i):
            sum += i 
    print(sum)

def isMultiple(i):
    return (i % 3 == 0) or (i % 5 == 0)
  
  ", "1"
"20", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter

# prints:
#
#     a
#     b

def sum_factors_of_n_below_k(k, n):
    m = (k-1) // n
    return n * m * (m+1) // 2

def solution_01():
    return (sum_factors_of_n_below_k(1000, 3) + 
            sum_factors_of_n_below_k(1000, 5) - 
            sum_factors_of_n_below_k(1000, 15))", "6"
"21", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

#	for num in range(1000):
#		print number", "1"
"48", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     3
#     5
# for num in range(1000):
  
 
  ", "1"
"23", "# 
#
#     for num in range(1000):
# print number
# 


  ", "1"
"46", "# In Python, the code
#
#     for numbers in ['x % 3', 'x % 5']:
#         print x
#
# prints:
# for num in range(1000):5 list[3,4,5]
  
 
  ", "1"
"47", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

# for num in range(1000):", "1"
"44", "# print range(1000)", "1"
"45", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints:
#
#     a
#     b

1000 % 7
  ", "1"
"28", "# In Python, the code
#
#     for letter in ['a', 'b']:
#         print letter
#
# prints: x
#
#     a
#     b

# for num in range(1000):

  
", "1"
